Integer,"Accepts integer values, but no floats. In effect everything that contains only the digits 0-9 is accepted.",Attribute settings: Integer
Numeric,"Accepts numeric values. Numeric strings consist of optional sign, any number of digits, optional decimal part and optional exponential part. Thus +0123.45e6 is a valid numeric value. Hexadecimal notation (0xFF) is allowed too but only without sign, decimal and exponential part.",Attribute settings: Numeric
LCSH,"Library of Congress Subject Heading value. Takes LCSH heading or first part of heading (the LCSH search service only supports truncation searches), does a lookup and returns a list of possible matches. Selected LCSH heading is stored as both text and the service URL identifier.",Attribute settings: LCSH
GeoNames,"GeoNames value. Takes search text, passes it to the GeoNames search service and provides a dropdown with search results (ordered by score). Selected geoname is stored as both text (name, country, continent and ID) and the service URL identifier.",Attribute settings: GeoNames
File,"Uploaded file. CA will try to identify the file and extract limited metadata, but even if it can't identify the file it will accept and store it.",Attribute settings: File
Media,"Uploaded media (image, sound video). CA will try to identify the file, extract metadata and create derivatives as configured in media_processing.conf. If CA cannot identify and parse the file it will reject it.",Attribute settings: Media
Taxonomy,Taxonomic name as returned from a taxonomic name service. Currently support lookups into ITISand uBio services.,Attribute settings: Taxonomy
InformationService,"Remote webservice lookup. Lookup values web services including the Getty TGN, ULAN and AAT, another CollectiveAccess instance, Wikipedia, WorldCat and uBio. See :ref:`informationServices`.",Attribute settings: InformationService
ObjectRepresentations,Reference object representations within your CollectiveAccess instance.,Attribute settings: ObjectRepresentations
Entities,Entity value. Searches the CollectiveAccess entity authority for given text and creates a typeless pseudo-relationship with the selected entity.,Attribute settings: Entities
Places,Place value. Searches the CollectiveAccess place authority for given text and creates a typeless pseudo-relationship with the selected place (typeless). Can be restricted to a single place type.,Attribute settings: Place
Occurrences,Occurrence value. Searches the CollectiveAccess occurrence authority for given text and creates a typeless pseudo-relationship with the selected occurrence (typeless). Can (and should) be restricted to a single occurrence type.,Attribute settings: Occurrence
Collections,Collection value. Searches the CollectiveAccess collection authority for given text and creates a typeless pseudo-relationship with the selected collection (typeless). Can be restricted to a single occurrence type.,Attribute settings: Collection
StorageLocations,Storage Location value. Searches the CollectiveAccess storage location authority for given text and creates a typeless pseudo-relationship with the selected storage location (typeless). Can be restricted to a single storage location type.,Attribute settings: StorageLocation
Loans,Loan value. Searches the CollectiveAccess loan authority for given text and creates a typeless pseudo-relationship with the selected loan (typeless). Can be restricted to a single occurrence type.,Attribute settings: Loan
Movements,Movement value. Searches the CollectiveAccess movement authority for given text and creates a typeless pseudo-relationship with the selected movement (typeless). Can be restricted to a single movement type.,Attribute settings: Movement
Objects,Object value. Searches the CollectiveAccess object authority for given text and creates a typeless pseudo-relationship with the selected object (typeless). Can be restricted to a single object type.,Attribute settings: Object
ObjectLots,Object Lot value. Searches the CollectiveAccess object lot authority for given text and creates a typeless pseudo-relationship with the selected object lot (typeless). Can be restricted to a single object lot type.,Attribute settings: ObjectLot
Floorplan,Implements an interactive floorplan user interface for place authority records,Attribute settings: Floorplan
Color,Represents a color in standard RGB hex format (Ex. FFCC33). In the editing interface this data type is typically displayed with a color picker.,Attribute settings: Color
Filesize,"Accepts digital file size values with commonly used suffixes (B, KB, KiB, MB, MiB, GB, GiB, TB, TiB, PB, PiB). Available from version 1.7.9.",Attribute settings: Filesize
